0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;1;0;29;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0;0;4;8;1;212;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1;9;259;248;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;7;0;1;0;8;21;37;2;10;0;0;0;2;0;0;0;0;0;0;6;0;0;3;8;0;0;0;0;29;0;0;0;3;9;1;0;1;0;0;0;5;4;52;4;0;16;0;0;0;0;7;0;0;0;1;1;49;33;0;11;0;0;0;86;2;2;0;0;4;0;0;28;0;0;3;30;8;0;6;15;0;41;0;310;21;0;6;4;0;0;0;0;0
1;0;0;36;7030;26;2755;32;0;1;0;5;3;61;43;0;0;4;0;8;0;0;0;12;5;52;278;407;2562;5337;0;0;0;0;0;0;58;0;1;0;3;0;93;0;4;0;0;0;23;0;446;0;237;583;624;4;175;0;0;0;9;0;0;2;0;0;0;639;0;0;28;24;0;105;0;0;218;0;0;0;29;245;9;0;12;0;3;0;69;110;617;63;0;538;0;14;8;0;51;0;0;0;1;1;297;424;0;882;0;0;0;1887;729;23;0;0;43;0;0;469;0;0;49;3418;136;0;42;47;0;202;0;1612;171;0;34;90;0;0;6;0;1
0;0;0;0;32;528;26;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;1;0;3;19;19;71;118;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;7;6;8;1;5;0;0;0;0;0;0;1;0;0;0;3;0;0;3;0;0;0;0;0;8;0;0;0;1;2;0;0;0;0;0;0;7;3;70;3;0;3;0;0;0;0;1;0;0;0;0;0;4;10;0;5;0;0;0;28;0;0;0;0;0;0;0;6;0;0;0;11;2;0;0;0;0;4;0;62;11;0;1;5;0;0;0;0;0
8;0;0;170;1792;27;11933;127;2;2;0;59;1;23;6;0;2;24;0;55;6;0;1;81;58;854;597;421;18175;17221;0;0;1;8;0;0;127;0;0;14;15;3;473;0;44;0;0;0;185;0;123;0;727;2621;5542;41;569;0;0;0;99;3;0;1;0;2;0;662;0;0;901;106;0;106;16;0;2325;0;0;0;83;959;49;14;119;3;58;1;1479;282;2813;430;2;1840;9;106;11;0;601;1;0;0;53;30;2983;3222;0;2403;0;2;0;8265;860;269;0;0;135;0;2;2244;0;2;206;3241;996;0;452;678;0;1081;0;38152;1010;0;174;1211;0;0;72;0;2
0;0;0;0;5;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;202;0;40;0;0;11;10;0;0;0;0;0;0;0;0;0;12;0;0;16;0;6;0;0;0;13;0;1;0;0;0;0;1;95;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;1;0;0;0;0;3;2;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;8;0;0;12;0;0;0;0;1;0;2;0;0;32;0;13;1;0;2;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303;0;0;0;0;0;0;0;0;0;0;0
